move_doc_number,quantity_on_hand,quantity_committed
93,1044,131212
96,1144,131212
99,1323,131212
134,1028,131212
152,1354,131212
155,1416,131212
166,1249,131212
167,1256,131212
168,1256,131212
169,1306,131212
176,1300,140204
181,1331,140213
184,1505,140213
202,1123,140424
203,1123,140424
211,1116,140509
225,1728,140509
234,938,140515
235,938,140515
236,938,140515
237,938,140515
244,1744,140523
245,1744,140523
252,1551,140527
253,1551,140527
254,1551,140527
258,1720,140527
260,1720,140527
264,1810,140527
265,1810,140527
266,1810,140527
272,1818,140527
274,1818,140527
275,1818,140527
276,1818,140527
283,1048,140528
284,1048,140528
285,1048,140528
