vendor,receiver_no,po_no,destination,po_status
30105,20110,10151,9005,3
50015,20114,10155,9005,3
90026,20146,10168,9005,3
30030,20200,10176,9005,3
30076,20145,10250,9005,3
30014,20198,10383,9005,3
30014,20199,10404,9005,3
30106,20246,10617,9005,3
30106,20247,10618,9005,3
30106,20248,10619,9005,3
30106,20249,10620,9005,3
30106,20250,10621,9005,3
30025,20259,10640,9005,3
30025,20260,10641,9005,3
30025,20261,10642,9005,3
30025,20262,10643,9005,3
30025,20263,10644,9005,3
1496,37069,31764,9005,3
1496,37070,31765,9005,3
