"move_doc_number, store_code"
290070,800
287961,
289758,
289934,
289976,
289997,
290010,
290016,
290021,
290040,
290086,
214597,820
218885,820
218887,820
218929,820
219458,820
219586,820
219796,820
220086,820
220253,820
286937,820
289982,820
289998,820
290000,820
290013,820
290017,820
290037,820
290046,820
290048,820
290073,820
290077,820
290078,820
290080,820
253266,820
254225,820
254561,820
254590,820
254939,820
218746,884
219472,884
219809,884
220330,884
220398,884
220749,884
221167,884
289939,884
289979,884
289984,884
289992,884
290002,884
290011,884
290014,884
290018,884
290039,884
290041,884
290042,884
290043,884
290075,884
290076,884
290081,884
290106,884
254059,884
254182,884
254567,884
254687,884
219136,893
219728,893
221179,893
221225,893
289987,893
290015,893
290092,893
290162,893
254573,893
289485,944
289518,944
289530,944
289543,944
289545,944
289548,944
289551,944
289555,944
289579,944
289582,944
289586,944
289595,944
289603,944
289605,944
289610,944
289613,944
289638,944
289644,944
289650,944
289685,944
289687,944
289695,944
289723,944
289726,944
289730,944
289731,944
289747,944
289777,944
289779,944
289787,944
289789,944
289797,944
289804,944
289837,944
289842,944
289845,944
289849,944
289878,944
289883,944
289884,944
289909,944
289937,944
289945,944
289946,944
289975,944
289983,944
289991,944
289994,944
290001,944
290005,944
290012,944
290019,944
254580,944
254773,944
289892,975
290163,975
254583,975
254811,975
