so_no,sku,ordered_qty,allocated_qty
6271,198838400281,5.00,5.00
6272,198838400281,3.00,3.00
6273,198838400281,2.00,2.00
6271,198838400304,3.00,3.00
6272,198838400304,2.00,2.00
6273,198838400304,3.00,3.00
6271,198838400328,4.00,4.00
6272,198838400328,2.00,2.00
6273,198838400328,4.00,4.00
6271,198838400342,4.00,4.00
6272,198838400342,2.00,2.00
6273,198838400342,2.00,2.00
6271,198838400366,3.00,3.00
6272,198838400366,6.00,6.00
6273,198838400366,2.00,2.00
6271,198838400380,3.00,3.00
6272,198838400380,2.00,2.00
6273,198838400380,2.00,2.00
6271,198838400403,3.00,3.00
6272,198838400403,3.00,3.00
6273,198838400403,5.00,5.00
6271,120851600027,2.00,2.00
6272,120851600027,2.00,2.00
6273,120851600027,2.00,2.00
6271,120702800019,2.00,2.00
6273,120702800019,2.00,2.00
6271,120702800026,4.00,4.00
6272,120702800026,2.00,2.00
6273,120702800026,2.00,2.00
6271,120702800033,4.00,4.00
6272,120702800033,2.00,2.00
6273,120702800033,2.00,2.00
6271,120702800040,2.00,2.00
6272,120702800040,2.00,2.00
6273,120702800040,2.00,2.00
6271,124182902027,2.00,2.00
6272,124182902027,3.00,3.00
6273,124182902027,1.00,1.00
6271,124182904021,4.00,4.00
6272,124182904021,2.00,2.00
6273,124182904021,2.00,2.00
6271,124182906025,2.00,2.00
6272,124182906025,2.00,2.00
6273,124182906025,3.00,3.00
6271,124182908029,2.00,2.00
6272,124182908029,3.00,3.00
6273,124182908029,2.00,2.00
6271,124182910022,2.00,2.00
6272,124182910022,3.00,3.00
6273,124182910022,2.00,2.00
